id,project_id,file_name,file_type,status
78,1,Mannheimer_DC06_Transcript.pdf,.pdf,FAILED_LOGIN
79,1,Mannheimer_DC07_Transcript.pdf,.pdf,FAILED_LOGIN
80,1,Mannheimer_DC08_Transcript.pdf,.pdf,FAILED_LOGIN
81,1,Mannheimer_DC09_Transcript.pdf,.pdf,FAILED_LOGIN
82,1,Mannheimer_DC10_Transcript.pdf,.pdf,FAILED_LOGIN
83,1,Mannheimer_DC_Interview_Guide.pdf,.pdf,SUCCEEDED
84,1,Mannheimer_DataNarrative.pdf,.pdf,SUCCEEDED
85,1,Mannheimer_Emails_to_Participants.pdf,.pdf,SUCCEEDED
86,1,Mannheimer_IRB-Exempt_Application.pdf,.pdf,SUCCEEDED
87,1,Mannheimer_Interview_Dates_Lengths.pdf,.pdf,SUCCEEDED
88,1,Mannheimer_Participant_Summaries.pdf,.pdf,FAILED_LOGIN
89,1,Mannheimer_QR01_Transcript.pdf,.pdf,FAILED_LOGIN
90,1,Mannheimer_QR02_Transcript.pdf,.pdf,FAILED_LOGIN
91,1,Mannheimer_QR03_Transcript.pdf,.pdf,FAILED_LOGIN
92,1,Mannheimer_QR04_Transcript.pdf,.pdf,FAILED_LOGIN
93,1,Mannheimer_QR05_Transcript.pdf,.pdf,FAILED_LOGIN
94,1,Mannheimer_QR07_Transcript.pdf,.pdf,FAILED_LOGIN
95,1,Mannheimer_QR08_Transcript.pdf,.pdf,FAILED_LOGIN
96,1,Mannheimer_QR09_Transcript.pdf,.pdf,FAILED_LOGIN
97,1,Mannheimer_QR10_Transcript.pdf,.pdf,FAILED_LOGIN
98,1,Mannheimer_QR_Interview_Guide.pdf,.pdf,SUCCEEDED
99,1,Mannheimer_Redacted_Interview_Analysis.nvpx,.nvpx,FAILED_LOGIN
100,1,Mannheimer_Redacted_Interview_Analysis.qdpx,.qdpx,FAILED_LOGIN
101,1,README_Mannheimer.txt,.txt,SUCCEEDED
102,2,Furlong-et-al_Codebook.pdf,.pdf,SUCCEEDED
103,2,Furlong-et-al_ConsentForm_Instructors.pdf,.pdf,SUCCEEDED
104,2,Furlong-et-al_ConsentForm_Students.pdf,.pdf,SUCCEEDED
105,2,Furlong-et-al_DataNarrative.pdf,.pdf,SUCCEEDED
106,2,Furlong-et-al_InterviewGuide_Students.pdf,.pdf,SUCCEEDED
107,2,Furlong-et-al_InterviewQuestionnaire_InstructorsPostInterview.pdf,.pdf,SUCCEEDED
108,2,Furlong-et-al_InterviewQuestionnaire_InstructorsPreInterview.pdf,.pdf,SUCCEEDED
109,2,Furlong-et-al_InterviewSiteA_Instructor1.pdf,.pdf,FAILED_LOGIN
110,2,Furlong-et-al_InterviewSiteA_Instructor2.pdf,.pdf,FAILED_LOGIN
111,2,Furlong-et-al_InterviewSiteA_Student1.pdf,.pdf,FAILED_LOGIN
112,2,Furlong-et-al_InterviewSiteB_Instructor1.pdf,.pdf,FAILED_LOGIN
113,2,Furlong-et-al_InterviewSiteB_Instructor2.pdf,.pdf,FAILED_LOGIN
114,2,Furlong-et-al_InterviewSiteB_Student1.pdf,.pdf,FAILED_LOGIN
115,2,Furlong-et-al_InterviewSiteB_Student2.pdf,.pdf,FAILED_LOGIN
116,2,Furlong-et-al_InterviewSiteB_Student3.pdf,.pdf,FAILED_LOGIN
117,2,Furlong-et-al_InterviewSiteB_Student4.pdf,.pdf,FAILED_LOGIN
118,2,README_Furlong-et-al.txt,.txt,SUCCEEDED
119,1,Mannheimer_BSR01_Transcript.pdf,.pdf,FAILED_LOGIN
120,1,Mannheimer_BSR02_Transcript.pdf,.pdf,FAILED_LOGIN
121,1,Mannheimer_BSR03_Transcript.pdf,.pdf,FAILED_LOGIN
122,1,Mannheimer_BSR05_Transcript.pdf,.pdf,FAILED_LOGIN
123,1,Mannheimer_BSR06_Transcript.pdf,.pdf,FAILED_LOGIN
124,1,Mannheimer_BSR07_Transcript.pdf,.pdf,FAILED_LOGIN
125,1,Mannheimer_BSR08_Transcript.pdf,.pdf,FAILED_LOGIN
126,1,Mannheimer_BSR09_Transcript.pdf,.pdf,FAILED_LOGIN
127,1,Mannheimer_BSR10_Transcript.pdf,.pdf,FAILED_LOGIN
128,1,Mannheimer_BSR_Interview_Guide.pdf,.pdf,SUCCEEDED
129,1,Mannheimer_Codebook.pdf,.pdf,SUCCEEDED
130,1,Mannheimer_Consent_V1.pdf,.pdf,SUCCEEDED
131,1,Mannheimer_Consent_V2.pdf,.pdf,SUCCEEDED
132,1,Mannheimer_DC01_Transcript.pdf,.pdf,FAILED_LOGIN
133,1,Mannheimer_DC02_Transcript.pdf,.pdf,FAILED_LOGIN
134,1,Mannheimer_DC03_Transcript.pdf,.pdf,FAILED_LOGIN
135,1,Mannheimer_DC04_Transcript.pdf,.pdf,FAILED_LOGIN
136,1,Mannheimer_DC05_Transcript.pdf,.pdf,FAILED_LOGIN
137,1,Mannheimer_DC06_Transcript.pdf,.pdf,FAILED_LOGIN
138,1,Mannheimer_DC07_Transcript.pdf,.pdf,FAILED_LOGIN
139,1,Mannheimer_DC08_Transcript.pdf,.pdf,FAILED_LOGIN
140,1,Mannheimer_DC09_Transcript.pdf,.pdf,FAILED_LOGIN
141,1,Mannheimer_DC10_Transcript.pdf,.pdf,FAILED_LOGIN
142,1,Mannheimer_DC_Interview_Guide.pdf,.pdf,SUCCEEDED
143,1,Mannheimer_DataNarrative.pdf,.pdf,SUCCEEDED
144,1,Mannheimer_Emails_to_Participants.pdf,.pdf,SUCCEEDED
145,1,Mannheimer_IRB-Exempt_Application.pdf,.pdf,SUCCEEDED
146,1,Mannheimer_Interview_Dates_Lengths.pdf,.pdf,SUCCEEDED
147,1,Mannheimer_Participant_Summaries.pdf,.pdf,FAILED_LOGIN
148,1,Mannheimer_QR01_Transcript.pdf,.pdf,FAILED_LOGIN
149,1,Mannheimer_QR02_Transcript.pdf,.pdf,FAILED_LOGIN
150,1,Mannheimer_QR03_Transcript.pdf,.pdf,FAILED_LOGIN
151,1,Mannheimer_QR04_Transcript.pdf,.pdf,FAILED_LOGIN
152,1,Mannheimer_QR05_Transcript.pdf,.pdf,FAILED_LOGIN
153,1,Mannheimer_QR07_Transcript.pdf,.pdf,FAILED_LOGIN
154,1,Mannheimer_QR08_Transcript.pdf,.pdf,FAILED_LOGIN
155,1,Mannheimer_QR09_Transcript.pdf,.pdf,FAILED_LOGIN
156,1,Mannheimer_QR10_Transcript.pdf,.pdf,FAILED_LOGIN
157,1,Mannheimer_QR_Interview_Guide.pdf,.pdf,SUCCEEDED
158,1,Mannheimer_Redacted_Interview_Analysis.nvpx,.nvpx,FAILED_LOGIN
159,1,Mannheimer_Redacted_Interview_Analysis.qdpx,.qdpx,FAILED_LOGIN
160,1,README_Mannheimer.txt,.txt,SUCCEEDED
161,3,README_VandeVusse-Mueller.txt,.txt,SUCCEEDED
162,3,VandeVusse-Mueller_CognitiveInterviewConsentForm.pdf,.pdf,SUCCEEDED
163,3,VandeVusse-Mueller_DataSharingCodingScheme.tab,.tab,SUCCEEDED
164,3,VandeVusse-Mueller_DataSharingNodeAnalysis.tab,.tab,FAILED_LOGIN
165,3,VandeVusse-Mueller_DataSharingOverviewMethods.pdf,.pdf,SUCCEEDED
166,4,Ibitoye-et-al_CognitiveInterviews_Guide.pdf,.pdf,SUCCEEDED
167,4,Ibitoye-et-al_CognitiveInterviews_InformedConsent.pdf,.pdf,SUCCEEDED
168,4,Ibitoye-et-al_CognitiveInterviews_SampleCharacteristics.pdf,.pdf,SUCCEEDED
169,4,Ibitoye-et-al_CoupleInterviews_Guide.pdf,.pdf,SUCCEEDED
170,4,Ibitoye-et-al_IndividualAndCoupleInterviews_InformedConsent.pdf,.pdf,SUCCEEDED
171,4,Ibitoye-et-al_IndividualAndCoupleInterviews_SampleCharacteristics.pdf,.pdf,SUCCEEDED
172,4,Ibitoye-et-al_IndividualInterviews_Guide.pdf,.pdf,SUCCEEDED
173,4,Ibitoye-etal_CI-V1-JA-003.pdf,.pdf,FAILED_LOGIN
174,4,Ibitoye-etal_CI-V1-JA-004.pdf,.pdf,FAILED_LOGIN
175,4,Ibitoye-etal_CI-V1-KB-005.pdf,.pdf,FAILED_LOGIN
176,4,Ibitoye-etal_CI-V1-MB-005.pdf,.pdf,FAILED_LOGIN
177,4,Ibitoye-etal_CI-V1-MB-006.pdf,.pdf,FAILED_LOGIN
178,4,Ibitoye-etal_CI-V1-MS-003.pdf,.pdf,FAILED_LOGIN
179,4,Ibitoye-etal_CI-V1-MS-004.pdf,.pdf,FAILED_LOGIN
